P,K,temperature,humidity,ph,rainfall,temperature_min,phenological_stage,leaf_area_index,spad_value,GDD,Cumulative_GDD,Phenological_Stage_Num,Normalized_SPAD,Growth_Stage,Leaf_Age,Fertilizer_Type,Irrigation_mm,Crop_Yield_g_per_plant,Plant_Variety,Epigenetic_Markers,Soil_Nitrogen
35,40,22.17931888,80.33127223,6.357389366,200.0882787,19.07893998,Flowering,2.319975091,28.0586278,10.62912943,377.133449,3,-0.825561399,414.4534241,4,Urea,20,83.5,Variety_A,81.05179729,48.54142609
37,39,24.52783742,82.73685569,6.364134968,224.6757231,21.04344109,Panicle Initiation,2.723451637,31.07845613,12.78563926,389.9190882,2,-0.481972052,427.6425399,3,Urea,20,80.5,Variety_A,82.59804379,53.7657291
53,38,20.26707606,81.63895217,5.01450727,270.4417274,19.15661532,Flowering,2.940565599,42.53690978,9.711845691,399.6309339,3,0.859442828,439.5714995,4,NPK,20,94.5,Variety_A,83.73501087,73.58885392
54,44,25.7354293,83.88266234,6.149410611,233.1321372,21.6071186,Maturity,2.090930079,43.75580183,13.67127395,413.3022079,4,1.033182185,454.393138,5,Urea,20,93,Variety_A,88.72514926,75.69753717
55,42,26.79533926,82.1480873,5.950660556,193.3473987,23.69473793,Panicle Initiation,3.077305164,45.68839328,15.24503859,428.5472465,2,1.257847104,469.6245516,3,NPK,30,96,Variety_A,88.46257569,79.04092037
57,35,26.75754171,81.17734011,5.960370061,272.2999056,23.10044638,Panicle Initiation,3.555677252,44.85432572,14.92899404,443.4762405,2,1.158522466,486.0319178,3,NPK,20,95.5,Variety_A,86.66790878,77.5979835
39,36,23.86330467,83.15250801,5.561398642,285.2493645,21.94323363,Flowering,4.92728243,49.89945082,12.90326915,456.3795097,3,1.716306423,502.3067921,4,NPK,20,85,Variety_A,82.55841506,86.32604992
43,44,21.01944696,82.95221726,7.416245107,298.4018471,19.79685644,Germination,1.880802489,39.07280281,10.4081517,466.7876614,0,0.553365289,507.6684639,1,DAP,20,73.5,Variety_A,82.13363448,67.59594886
44,41,24.17298839,83.7287574,5.583370042,257.0343554,20.31758736,Panicle Initiation,4.397710608,47.69622711,12.24528787,479.0329493,2,1.49694928,525.4306599,3,NPK,20,74,Variety_A,82.28359608,82.5144729
42,36,22.78133816,82.06719137,6.430010215,248.7183228,18.00281262,Flowering,4.654991003,45.28411336,10.39207539,489.4250246,3,1.17916651,538.0800156,4,Urea,20,70,Variety_A,79.40413708,78.34151611
45,43,25.62980105,83.52842314,5.534878156,209.9001977,22.15680993,Tillering,2.993618339,20.09189134,13.89330549,503.3183301,1,-1.678805072,549.3119485,2,NPK,20,76,Variety_A,83.63705888,34.75897202
60,36,25.59704938,80.14509262,6.903985986,200.834898,22.93740695,Flowering,4.180139672,43.07922424,14.26722817,517.5855583,3,0.9225582,567.765698,4,Urea,20,89.5,Variety_A,85.55375765,74.52705794
40,40,23.83067496,84.81360127,6.271478838,298.5601175,20.72658695,Flowering,2.135647665,20.94873041,12.27863095,529.8641893,3,-1.653021947,578.9998369,4,Urea,20,81,Variety_A,83.90195792,36.24130361
52,45,26.31355498,82.36698992,7.224285503,265.5355937,25.08199459,Germination,3.771021557,39.41291424,15.69777479,545.561964,0,0.593752927,594.3329856,1,DAP,20,91,Variety_A,88.44348825,68.18434164
35,38,24.8972823,80.52586088,6.13428721,183.6793207,21.86367308,Panicle Initiation,4.521836681,36.75695611,13.38047769,558.9424417,2,0.194250094,611.4642784,3,Urea,20,82,Variety_A,81.40241569,63.58953407
49,42,24.958779,84.47963372,5.206373153,196.9560008,22.75707245,Germination,4.450495429,25.5226584,13.85792572,572.8003675,0,-1.055690667,624.2508629,1,NPK,20,83.5,Variety_A,85.34715235,44.15419903
39,38,23.24113501,84.59201843,7.782051313,233.0453455,19.65196398,Flowering,4.854087501,26.22332049,11.44654949,584.246917,3,-1.039157222,640.1010045,4,DAP,20,75.5,Variety_A,82.86169401,45.36634445
43,39,21.66628296,80.70960551,7.062779015,210.8142087,17.54358986,Tillering,4.348798896,20.37090148,9.604936408,593.8518534,1,-1.648226374,648.2006523,2,DAP,20,80.5,Variety_A,81.45898335,35.24165956
55,45,24.63544858,80.41363018,7.730367824,253.7202781,21.5458743,Flowering,2.032228461,43.79764959,13.09066144,606.9425148,3,1.006169622,661.9747433,4,DAP,20,94,Variety_A,87.99921522,75.76993379
36,43,23.43121862,83.06310136,5.286203711,219.9048349,21.55268336,Germination,3.478291816,31.53175338,12.49195099,619.4344658,0,-0.342121145,673.9127576,1,NPK,20,69.5,Variety_A,80.17576035,54.54993335
60,39,20.0454142,80.3477562,6.766240045,208.5810155,15.27302603,Panicle Initiation,3.15798289,44.34288829,7.659220114,627.0936859,2,1.097618122,684.2516688,3,Urea,20,87.5,Variety_A,83.55178781,76.71319674
56,42,23.85724032,82.22572988,7.382762603,195.0948311,20.30834779,Germination,2.995148116,33.73838745,12.08279406,639.17648,0,-0.080087208,695.1716281,1,DAP,20,95.5,Variety_A,88.18541863,58.36741029
60,43,21.97199397,81.89918197,5.658169482,227.3637009,19.59359382,Panicle Initiation,4.105664996,25.4303803,10.7827939,649.9592739,2,-1.154571148,710.0649389,3,NPK,20,84,Variety_A,84.53329026,43.99455792
52,36,26.22916897,83.83625819,5.543360238,286.5083725,23.42537987,Tillering,3.793252903,41.48211515,14.82727442,664.7865483,1,0.665501175,724.5798012,2,NPK,20,91.5,Variety_A,86.43581283,71.76405921
38,39,23.44676801,84.79352417,6.215109715,283.9338466,20.15369615,Germination,1.541119193,45.97518946,11.80023208,676.5867804,0,1.373011636,734.1278995,1,Urea,20,76,Variety_A,82.30453512,79.53707777
54,38,25.65553461,83.47021081,7.120272972,217.3788583,21.06976474,Panicle Initiation,1.297408993,41.57660201,13.36264967,689.94943,2,0.768195907,750.246839,3,DAP,20,83,Variety_A,85.86948303,71.92752148
36,45,24.44345477,82.45432595,5.950647577,267.9761948,22.76180915,Germination,1.612505211,27.50742592,13.60263196,703.552062,0,-0.820002995,763.1645672,1,NPK,20,86,Variety_A,84.37493343,47.58784684
46,40,20.2801937,82.1235421,7.236705436,191.9535738,17.51445345,Panicle Initiation,4.744734864,20.40879511,8.897323574,712.4493856,2,-1.752564829,778.1941204,3,DAP,20,78.5,Variety_A,81.81587179,35.30721554
55,35,21.7238313,80.2389895,6.501697816,277.9626192,19.542936,Germination,3.408434448,42.01698513,10.63338365,723.0827692,0,0.902981792,786.4912037,1,Urea,20,94.5,Variety_A,84.11004596,72.68938427
40,38,20.41447029,82.20802629,7.592490617,245.1511304,17.28710537,Flowering,2.892389512,36.01808036,8.850787829,731.933557,3,0.100771657,798.8259466,4,DAP,20,75,Variety_A,80.42529563,62.31127902
58,45,25.75528612,83.51827127,5.875345751,245.6626799,22.68608898,Maturity,1.818070405,45.67031908,14.22068755,746.1542446,4,1.261351784,813.972315,5,NPK,20,93,Variety_A,88.98645753,79.00965201
58,38,20.61521424,83.77345559,6.932400225,279.5451717,16.60733602,Flowering,3.076820805,26.39863833,8.611275132,754.7655197,3,-1.018753469,823.8423405,4,Urea,20,94.5,Variety_A,86.59225363,45.66964431
36,42,21.84106875,80.72886384,6.946209881,202.3838319,19.98797368,Flowering,4.253049881,43.89594511,10.91452122,765.6800409,3,1.017609403,836.9330908,4,Urea,20,74,Variety_A,80.06858535,75.93998504
47,42,20.08369642,83.29114712,5.739175027,263.6372176,16.68278105,Flowering,2.993014627,22.46331689,8.383238734,774.0632797,3,-1.476752095,845.0562943,4,NPK,20,82.5,Variety_A,82.72255714,38.86153822
41,36,24.45802087,82.74835604,6.738652179,182.5616319,21.28841358,Germination,4.530513036,44.09567037,12.87321722,786.9364969,0,1.14982203,857.4670099,1,Urea,20,88,Variety_A,84.10057768,76.28550974
54,37,21.14347496,80.33502926,5.594819626,198.6730942,17.01482095,Flowering,3.548210353,20.93123737,9.079147955,796.0156449,3,-1.655057813,869.5638552,4,NPK,20,95,Variety_A,83.78179639,36.21104065
59,35,25.78720567,82.11124033,6.946636369,243.5120414,23.37221253,Panicle Initiation,4.031986863,41.82771301,14.5797091,810.595354,2,0.798099371,884.6273408,3,Urea,20,90,Variety_A,86.43848425,72.36194351
46,41,23.64124821,80.28597873,5.012139669,263.1103304,20.51859826,Maturity,4.651687348,40.3216,12.07992323,822.6752772,4,0.623898613,900.3269645,5,NPK,20,78,Variety_A,81.00677245,69.756368
56,37,23.43191632,80.56887849,6.363472208,269.5039162,21.31400234,Tillering,1.109336864,47.19071074,12.37295933,835.0482365,1,1.291146629,907.1575734,2,Urea,20,92,Variety_A,84.8752891,81.63992958
52,41,24.97669518,83.891805,6.880431223,204.8001847,20.39901369,Panicle Initiation,2.609095339,26.32733391,12.68785444,847.736091,2,-1.047757746,923.3451863,3,Urea,20,77,Variety_A,84.86483931,45.54628766
45,38,22.72791041,82.1706881,7.300410836,260.8875056,20.40575512,Panicle Initiation,3.054407436,29.96174122,11.56683276,859.3029237,2,-0.614955648,936.3573312,3,DAP,20,75,Variety_A,81.65675472,51.83381231
42,37,24.87300744,82.84022551,6.587918708,295.6094492,23.5451313,Flowering,1.14833578,37.20610583,14.20906937,873.5119931,3,0.239035848,950.6603289,4,Urea,20,79,Variety_A,82.72206696,64.36656309
43,42,21.32376327,83.00320459,7.283736617,192.3197536,19.31704238,Germination,2.512015166,20.96189227,10.32040282,883.8323959,0,-1.597273672,960.3444111,1,DAP,20,81.5,Variety_A,83.40134957,36.26407363
54,36,26.29465461,84.56919326,7.023936392,257.4914906,23.71709882,Tillering,3.230884584,23.62629666,15.00587671,898.8382726,1,-1.29144454,978.0691572,2,DAP,20,82.5,Variety_A,86.11682031,40.87349322
36,45,22.2286982,81.85872947,6.939083505,278.0791793,17.84561551,Maturity,2.818876053,22.30971144,10.03715686,908.8754295,4,-1.522734126,991.6943055,5,Urea,20,89,Variety_A,84.38429412,38.59580079
47,44,26.73072391,81.78596776,7.868474653,280.4044392,23.10408788,Panicle Initiation,4.94758616,26.76971314,14.9174059,923.7928354,2,-0.995077174,1007.740422,3,DAP,20,79,Variety_A,85.60635824,46.31160373
35,38,24.88921174,81.97927117,5.005306977,185.9461429,21.21724721,Germination,2.630112624,24.87923405,13.05322947,936.8460649,0,-1.132096184,1017.476177,1,NPK,20,73,Variety_A,79.64850447,43.04107491
36,37,26.88444878,81.46033732,6.136131869,194.5766559,22.14516606,Germination,1.617861509,31.58768752,14.51480742,951.3608723,0,-0.335479063,1031.978734,1,Urea,30,75,Variety_A,81.16562729,54.64669941
41,38,22.67846116,83.72874389,7.524080076,200.9133156,20.15408668,Tillering,2.598722725,34.59179585,11.41627392,962.7771462,1,-0.089657758,1046.375869,2,DAP,20,80,Variety_A,83.15020445,59.84380682
57,43,26.08867875,80.37979919,5.706943251,182.9043504,24.05338683,Germination,1.824682167,41.25379126,15.07103279,977.848179,0,0.812353855,1060.672861,1,NPK,30,84,Variety_A,85.14953705,71.36905888
45,35,25.42977518,82.94682591,5.758506323,195.3574542,22.10083915,Panicle Initiation,4.57632822,42.52604872,13.76530716,991.6134862,2,0.88126043,1080.189814,3,NPK,30,76,Variety_A,81.80042682,73.57006429
53,43,26.40323239,81.05635517,6.349606327,223.3671883,21.66347653,Maturity,3.618063588,40.10684888,14.03335446,1005.646841,4,0.598304862,1096.264904,5,Urea,20,78.5,Variety_A,84.49923434,69.38484856
43,39,26.04371967,84.96907151,5.999969026,186.7536773,22.85747947,Maturity,2.22803776,33.49903745,14.45059957,1020.09744,4,-0.189205248,1110.325478,5,NPK,30,74.5,Variety_A,83.50200504,57.95333479
58,39,25.2827223,80.54372813,5.453592032,220.1156708,23.18459362,Maturity,3.019309515,33.16084225,14.23365796,1034.331098,4,-0.229510899,1126.350408,5,NPK,20,82,Variety_A,83.6571082,57.36825709
60,38,22.08576562,83.47038318,6.372576327,231.7364957,19.76881147,Tillering,1.912518917,46.18929516,10.92728854,1045.258387,1,1.181394397,1134.170906,2,Urea,20,82,Variety_A,84.39304363,79.90748063
43,38,23.28617173,81.43321641,5.105588355,242.3170629,20.94707425,Panicle Initiation,1.330849169,37.04117242,12.11662299,1057.37501,2,0.228095892,1147.705859,3,NPK,20,81.5,Variety_A,81.29442991,64.08122829
50,44,25.48591986,81.40633547,5.935344406,182.6549356,21.73577936,Flowering,3.46430404,42.55584405,13.61084961,1070.985859,3,0.861646426,1165.450163,4,NPK,30,89,Variety_A,86.05874232,73.62161021
53,42,23.67575393,81.03569343,5.17782304,233.7034975,21.60417204,Germination,2.01581436,29.18610202,12.63996299,1083.625822,0,-0.620663143,1174.641637,1,NPK,20,88,Variety_A,84.39484211,50.49195649
50,40,20.82477109,84.1341879,6.462391607,230.2242223,18.64466954,Germination,2.037448819,25.84641851,9.734720315,1093.360543,0,-1.017244721,1185.397991,1,Urea,20,90.5,Variety_A,85.37443735,44.71430402
53,38,26.92995077,81.91411159,7.069172227,290.6793783,22.69042785,Flowering,4.005784633,49.24298787,14.81018931,1108.170732,3,1.639906279,1206.176517,4,DAP,20,92,Variety_A,87.27053944,85.19036902
44,38,23.83509503,83.88387074,7.473134377,241.2013513,21.44167966,Tillering,2.731640992,46.18759848,12.63838734,1120.809119,1,1.181208446,1216.54076,2,DAP,20,86,Variety_A,85.15985401,79.90454537
45,35,26.52872817,80.12267476,6.158376967,218.9163567,23.57041513,Panicle Initiation,3.761547113,27.37719957,15.04957165,1135.858691,2,-0.92273487,1234.620238,3,Urea,20,80.5,Variety_A,81.96785483,47.36255526
40,38,26.46428311,83.85642678,7.549873681,248.2256491,24.62926173,Germination,4.218140189,35.33634048,15.54677242,1151.405463,0,0.10966692,1249.623603,1,DAP,20,78,Variety_A,84.24385084,61.13186903
51,36,22.69657794,82.81088865,6.028321558,256.9964761,20.70388707,Maturity,2.356173698,42.94438844,11.70023251,1163.105696,4,0.936479024,1264.46187,5,Urea,20,73.5,Variety_A,81.10106844,74.293792
46,42,22.68319059,83.46358271,6.604993475,194.2651719,18.38360348,Flowering,2.23809018,24.00615616,10.53339703,1173.639093,3,-1.297194141,1274.877183,4,Urea,20,88,Variety_A,85.36806368,41.53065016
47,37,21.53346343,82.14004101,6.500343222,295.9248796,17.25863465,Panicle Initiation,4.029056507,37.6112808,9.396049042,1183.035142,2,0.295987045,1286.064198,3,Urea,20,88.5,Variety_A,83.38361181,65.06751578
55,45,21.40865769,83.3293191,5.935745417,287.5766935,16.75531457,Tillering,2.605425036,31.32573333,9.081986129,1192.117128,1,-0.4476087,1293.722553,2,NPK,20,80,Variety_A,84.28956988,54.19351866
35,44,26.54348085,84.67353597,7.072655622,183.6222657,21.86055325,Maturity,2.241450801,22.28926684,14.20201705,1206.319145,4,-1.525170686,1311.560596,5,DAP,30,78.5,Variety_A,85.1977537,38.56043163
37,40,23.35905428,83.59512273,5.333322606,188.413665,18.36898693,Flowering,2.435927723,31.01002535,10.8640206,1217.183166,3,-0.482073314,1322.619093,4,NPK,20,71,Variety_A,80.24117664,53.64734386
54,16,22.61359953,63.69070564,5.749914421,87.75953857,17.6623811,Maturity,3.908371659,24.87031134,10.13799032,1227.321156,4,-1.217565261,1336.229528,5,NPK,20,70.5,Variety_B,67.04074128,43.02563862
44,17,26.10018422,71.57476937,6.931756558,102.2662445,22.05595852,Tillering,2.970689638,48.58111305,14.07807137,1241.399227,1,1.443530674,1347.369917,2,Urea,30,61,Variety_B,70.38651231,84.04532558
43,16,23.55882094,71.59351368,6.657964753,66.71995467,19.74594294,Tillering,2.582193111,38.18063522,11.65238194,1253.051609,1,0.303668588,1359.633802,2,Urea,20,69.5,Variety_B,70.61506407,66.05249893
58,21,19.97215954,57.68272924,6.596060648,60.65171481,17.18351694,Tillering,2.184477115,28.0071268,8.577838242,1261.629448,1,-0.811318313,1368.813925,2,Urea,20,76,Variety_B,65.98786482,48.45232936
38,20,18.47891261,62.69503871,5.970458434,65.43835393,13.68925415,Maturity,3.179502848,39.43248875,6.084083381,1267.713531,4,0.517935526,1379.893034,5,NPK,20,59.5,Variety_B,62.02135946,68.21820554
41,16,21.77689322,57.80840636,6.158830619,102.0861694,19.37497135,Tillering,1.01098555,49.51714507,10.57593228,1278.289463,1,1.546117058,1386.300449,2,Urea,20,62.5,Variety_B,61.11025884,85.66466097
41,17,25.6217169,66.50415474,6.047906679,105.4654703,22.21247487,Tillering,2.477632545,47.31122189,13.91709588,1292.206559,1,1.3043543,1402.684192,2,Urea,30,75.5,Variety_B,69.72950814,81.84841387
60,19,25.19192419,66.6902901,5.913664501,78.06639649,21.57099129,Panicle Initiation,3.046534814,34.06716081,13.38145774,1305.588017,2,-0.126063221,1418.634552,3,NPK,30,84,Variety_B,73.57011343,58.9361882
44,17,20.41683147,62.5542482,5.855442401,65.27798457,16.24819485,Panicle Initiation,1.710341657,44.15462212,8.332513161,1313.92053,2,1.075198512,1426.630872,3,NPK,20,68.5,Variety_B,64.45712213,76.38749627
60,25,24.92162194,66.78627406,5.750254943,109.2162279,20.22069018,Tillering,3.651549216,45.28595358,12.57115606,1326.491686,1,1.08239079,1441.143235,2,NPK,20,76,Variety_B,73.01193877,78.34469969
44,19,23.31689124,73.4541537,5.852607099,94.29712821,20.97065715,Germination,3.478153441,42.98250812,12.14377419,1338.63546,0,1.017635959,1453.113614,1,NPK,20,66.5,Variety_B,71.06539761,74.35973905
49,21,24.84016732,68.3584573,6.472523287,74.05474936,21.95656139,Flowering,2.943165293,33.29457253,13.39836436,1352.033825,3,-0.216194278,1469.97699,4,Urea,20,80,Variety_B,73.09880955,57.59961048
52,16,22.27526694,58.84015925,6.967057762,63.87020584,20.56995089,Germination,2.423641929,40.87117073,11.42260891,1363.456434,0,0.766918336,1478.880075,1,Urea,20,65,Variety_B,63.91042106,70.70712536
44,16,18.87751445,65.76816093,6.082973754,94.76189431,16.03188983,Germination,2.185976545,40.93682615,7.454702141,1370.911136,0,0.774714802,1487.097112,1,Urea,20,76,Variety_B,66.8848705,70.82070924
54,21,25.19008683,60.2001687,5.919045532,72.12375573,22.49586771,Flowering,4.617536885,24.23137564,13.84297727,1384.754113,3,-1.270982759,1507.37165,4,NPK,30,70.5,Variety_B,67.4275464,41.92027986
58,22,18.25405352,55.28220433,6.204747653,63.72358154,14.48649752,Tillering,2.998325122,22.16555775,6.37027552,1391.124388,1,-1.451537272,1511.122714,2,Urea,20,71.5,Variety_B,63.16557216,38.34641491
47,17,24.6129118,70.4162444,6.600827017,104.1626147,21.10449575,Flowering,1.929009341,39.96955363,12.85870377,1403.983092,3,0.560650058,1525.912102,4,Urea,20,67,Variety_B,70.51378313,69.14732778
41,17,25.1420613,65.26185135,6.021902237,76.68456006,22.82352356,Tillering,1.437809628,29.36939137,13.98279243,1417.965885,1,-0.662018083,1538.403694,2,Urea,30,59.5,Variety_B,65.70089154,50.80904707
53,19,23.09348056,60.1159381,6.033550195,65.49730729,21.50810232,Panicle Initiation,3.76258623,23.44489065,12.30079144,1430.266676,2,-1.391012475,1555.029262,3,Urea,20,69,Variety_B,65.81549139,40.55966082
55,19,18.05033737,62.89366992,6.28886807,84.23613484,13.91282267,Tillering,3.395412438,26.54588319,5.981580021,1436.248256,1,-0.971466358,1560.643669,2,Urea,20,74,Variety_B,66.54029075,45.92437792
57,21,24.9321581,73.80435276,6.550563823,79.74078719,21.46269176,Panicle Initiation,2.621371548,23.48139637,13.19742493,1449.445681,2,-1.386665204,1575.067053,3,Urea,20,77.5,Variety_B,76.20537791,40.62281572
50,15,18.14710054,71.09445342,5.573286437,88.07753741,14.97413512,Flowering,4.770423474,37.12657368,6.560617829,1456.006299,3,0.229779777,1585.776722,4,NPK,20,82,Variety_B,70.55003879,64.22897247
56,22,18.28362235,66.65952796,6.829199275,80.97573281,17.24229651,Maturity,1.602573128,43.05610983,7.762959432,1463.769258,4,0.949793829,1592.371831,5,Urea,20,76,Variety_B,69.94073249,74.48707001
45,21,18.83344471,58.75082029,5.716222912,79.7532896,14.205377,Flowering,1.02609863,36.44422066,6.519410854,1470.288669,3,0.150366506,1598.314768,4,NPK,20,74.5,Variety_B,63.93852178,63.04850174
48,16,25.71895816,67.22190688,5.54990242,74.51490791,22.33986414,Maturity,3.460434635,25.17298476,14.02941115,1484.31808,4,-1.181493049,1616.778515,5,NPK,30,82,Variety_B,71.62847816,43.54926363
51,16,25.33797709,68.49835977,6.586244581,96.46380213,23.08303424,Tillering,2.215102841,27.14180441,14.21050567,1498.528586,1,-0.906155128,1627.743689,2,Urea,30,73,Variety_B,71.23611747,46.95532163
39,18,23.89114571,57.48775781,5.893093135,102.8301942,20.38655914,Maturity,3.708799366,49.08859003,12.13885243,1510.667438,4,1.668736735,1645.376238,5,NPK,20,75.5,Variety_B,64.43619307,84.92326075
49,15,21.53574127,71.50905983,5.918263801,102.4852929,20.05209405,Panicle Initiation,4.965527869,44.03684666,10.79391766,1521.461356,2,1.061173264,1656.426884,3,NPK,20,69.5,Variety_B,69.7197847,76.18374472
